query,work,composer,hash,n_B,p_q_excl_A,count_excl_A,pred_occurrences,obs_occurrences,pred_works,obs_works
142,musedata_beethoven-bhl-orch-sym7,beethoven_l,11833577011316027522,246,9.563584225382783e-06,12,10.513479660694022,12,10.10667394406593,7
143,musedata_mozart-nma-conc-k467,mozart_wa,16161659831680223506,231,0.00039264637433698146,630,409.83315262550843,630,145.1188706111785,99
144,dcml-jc_bach_sonatas-op-17,bach_jc,18436375458120127293,303,4.793905220658664e-07,0,0.953732427911133,0,0.9497021643512937,0
145,musedata_beethoven-bhl-orch-sym7,beethoven_l,5980977290912585797,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
146,musedata_mozart-bhl-sym-k550,mozart_wa,14550797514676482449,231,0.00015992094802631416,256,184.66832235929306,256,92.74737519926424,48
147,musedata_beethoven-bhl-orch-sym7,beethoven_l,12771378565756071105,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
148,osq-5108909,schubert_f,15305166235929773998,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
149,kern-humdrum-haydn-quartets-op33n3,haydn_fj,17856771566371501801,216,3.5708079310024685e-06,5,4.851426521595117,5,4.631743462897459,1
150,dcml-beethoven_piano_sonatas-op-27-1,beethoven_l,16671488438573448182,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
151,kern-humdrum-haydn-quartets-op17n3,haydn_fj,6432779641063169965,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
152,dcml-jc_bach_sonatas-op-17,bach_jc,12493996299108812104,303,4.793905220658664e-07,0,0.953732427911133,0,0.9497021643512937,0
153,dcml-beethoven_piano_sonatas-op-22,beethoven_l,3720125104915860982,246,0.00025086017083504066,340,208.2758004839736,340,114.49695685902259,42
154,osl-5004732,schubert_f,9304051889722442085,288,5.088374895179477e-07,0,0.9900881386985868,0,0.9853763063176227,0
155,kern-humdrum-haydn-quartets-op54n3,haydn_fj,13566902599329582433,216,5.95134655167078e-07,0,1.0768521539959388,0,1.0694009250832588,0
156,dcml-kozeluh_sonatas-op-30-no-1,kozeluch_l,9329723373199509901,297,4.788350135653959e-07,0,0.9526196175171355,0,0.9485794353445447,0
157,osq-5108909,schubert_f,5687656546446799105,288,1.1703262258912798e-05,22,15.225249977338738,22,14.392877773257885,11
158,musedata_mozart-bhl-sym-k551,mozart_wa,6114423115468698831,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
159,kern-humdrum-haydn-quartets-op20n6,haydn_fj,8854902560822480218,216,7.855777448205431e-05,131,91.89167895596563,131,62.841430936962006,41
160,dcml-cpe_bach_keyboard-wq-50-3,bach_cpe,18397855023025023598,271,3.2335969760559386e-05,66,44.15513607734571,66,38.64770648228901,10
161,musedata_mozart-nma-sym-k19,mozart_wa,11185099478490614731,231,0.03704254519477998,59528,35601.34197132676,59528,230.59570907335143,167
162,musedata_beethoven-bhl-orch-sym1,beethoven_l,8974310542379254908,246,1.1034904875441673e-05,14,8.436446104899698,14,8.08409474365103,2
163,musedata_mozart-bhl-sym-k550,mozart_wa,12294321245084437993,231,6.222604981568644e-07,0,1.0755791371670043,0,1.0674064883778756,0
164,dcml_abc-n13op130,beethoven_l,15048644497979452113,246,7.356603250294448e-07,0,0.9767441434944739,0,0.9730988331175744,0
